medium_threshold,high_threshold,validation_accuracy,validation_macro_f1
0.3,0.6,0.48442367601246106,0.4828053430433594
0.35,0.6,0.48130841121495327,0.48147785004225807
0.3,0.55,0.47897196261682246,0.48013122104581824
0.35,0.65,0.4797507788161994,0.476656507141944
0.3,0.65,0.48286604361370716,0.47646926553664426
0.35,0.55,0.47585669781931467,0.47627172627172626
0.35,0.7,0.47741433021806856,0.46811045653596356
0.4,0.6,0.471183800623053,0.46740626458732154
0.3,0.7,0.48052959501557635,0.4667705796348757
0.25,0.6,0.4742990654205608,0.4648982647474953
0.4,0.65,0.4696261682242991,0.46461691996435195
0.25,0.55,0.4688473520249221,0.4633913416111695
0.4,0.55,0.4657320872274143,0.4588493832772751
0.25,0.65,0.4727414330218069,0.45791767172548464
0.4,0.7,0.4672897196261682,0.45756175088926737
0.35,0.75,0.4719626168224299,0.45057055031541465
0.3,0.75,0.4750778816199377,0.448145972389636
0.25,0.7,0.470404984423676,0.44770118832356304
0.35,0.8,0.4750778816199377,0.44388670949610587
0.45,0.65,0.45404984423676015,0.44208966217112206
0.45,0.6,0.45560747663551404,0.44164885156067996
0.4,0.75,0.4618380062305296,0.44141996851991133
0.3,0.8,0.4781931464174455,0.44060303544429386
0.45,0.7,0.4517133956386293,0.4373241780607972
0.4,0.8,0.4649532710280374,0.4357987644951116
0.25,0.75,0.4649532710280374,0.42860076024478855
0.45,0.55,0.4501557632398754,0.42759032046296036
0.45,0.75,0.4462616822429907,0.42327867407299885
0.25,0.8,0.4680685358255452,0.42065063527926366
0.45,0.8,0.44937694704049846,0.41921050633207635
0.5,0.65,0.4369158878504673,0.4136287668532084
0.5,0.7,0.43457943925233644,0.4119173246292204
0.5,0.6,0.4384735202492212,0.4086979017583134
0.5,0.75,0.42912772585669784,0.40064213447331065
0.5,0.8,0.4322429906542056,0.39853953943041387
0.5,0.55,0.43302180685358255,0.3869733412744165
